MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
4172.4085	458.788330078125	2	11.6377	102
4177.9898	450.274749755859	2	13.9013	81
4179.7389	467.301513671875	2	19.3314	97
4181.2479	800.941223144531	2	10.5077	289
4184.938	469.779174804688	2	20.8515	253
4189.4368	597.857727050781	2	7.32765	124
4195.8581	458.788055419922	2	17.6133	45
4197.5981	477.234558105469	2	8.64616	217
4211.356	800.940856933594	2	10.4424	202
4212.8026	450.274536132813	2	9.94584	70
4215.7825	597.858520507813	2	7.9161	111
4219.0363	600.336059570313	2	6.84675	193
4231.9141	492.803131103516	2	4.97204	110
4247.4803	580.364318847656	2	15.2403	171
4254.5383	494.3037109375	2	15.1701	132
4268.3566	580.364379882813	2	14.5336	168
4275.7984	491.791351318359	2	15.8674	154
4277.1671	619.871215820313	2	8.27696	109
4281.0398	480.801483154297	2	18.2234	41
4281.9525	472.288421630859	2	18.1085	42
4282.4933	489.314300537109	2	20.728	53
4285.5503	408.269165039063	2	10.616	110
4290.9784	628.3857421875	2	6.11898	116
4296.304	619.869995117188	2	8.3468	102
4300.0724	491.792083740234	2	13.3059	155
4304.5317	533.341918945313	2	5.16144	137
4311.5682	628.384826660156	2	5.30391	114
4320.7213	514.815795898438	2	4.67647	88
4327.2838	506.303802490234	2	3.88379	105
4340.6436	678.0532	3	9.29536	280
4345.2946	450.772308349609	2	15.7084	95
4346.7875	406.247680664063	2	4.47699	96
4351.7807	641.883239746094	2	8.27907	135
4357.0602	467.766662597656	2	21.172	64
4358.1865	459.254241943359	2	24.878	70
4359.0265	476.279907226563	2	20.8462	69
4361.6016	502.814208984375	2	19.1675	52
4362.4121	511.327270507813	2	22.1769	57
4362.8079	494.301208496094	2	19.833	38
4363.7224	556.842956542969	2	11.9561	202
4366.8471	615.403442382813	2	19.9806	85
4371.5945	513.804077148438	2	14.3397	114
4373.0438	641.885925292969	2	6.84065	105
4377.5259	525.344604492188	2	18.5722	90
4383.768	502.814453125	2	19.3451	46
4384.6404	511.327789306641	2	19.9925	43
4385.1197	494.301330566406	2	16.4066	39
4385.6047	472.288146972656	2	5.3832	127
4390.4734	558.352233886719	2	11.3245	167
4399.9601	532.79638671875	2	13.499	193
